Fecha,Dirección (Cruces),Colonia / Sector,Lat,Lon,Tipo de Incendio,Causa Probable,Daños,Descripción / Contexto,Fuente
19/01/2026,C. Rivera del Tajo y Rivera del Atrato,Riberas del Bravo (Etapa 9),31.6255,-106.315,Residencial,Intencional (Provocado),Parciales (Estructurales),Sujetos desconocidos prendieron fuego a una vivienda con una familia en el interior; el fuego se extendió desde un área anexa. Sin lesionados.,
12/01/2026,C. Garambullo y C. Centeno,El Granjero,31.6658,-106.4185,Taller / Industrial,Acumulación de solventes,Cuantiosos (Pérdida Total del negocio),Incendio en taller de carrocería y pintura. Columna de humo visible en todo el sur. Consumió pinturas y neumáticos.,[Puente Libre]
09/01/2026,C. Rivera de los Manantiales (aprox.),Riberas del Bravo,31.631,-106.324,Residencial,Accidental (Calefacción),Fallecimiento (1 menor),Tragedia donde una niña de 4 años perdió la vida al no poder escapar de las llamas en su domicilio.,[La Nuestra]
30/12/2025,Calle La Paz,Centro,31.739,-106.4835,Residencial,Cortocircuito,Pérdida Total,El siniestro provocó la interrupción del suministro eléctrico en el sector aledaño.,[El Imparcial]
12/12/2025,Camino Vecinal (Área de Riberas),Riberas del Bravo,31.628,-106.319,Tiradero Clandestino,Quema de basura,Ambientales / Riesgo de propagación,Incendio de llantas y basura en tiradero clandestino que alertó a vecinos por la densidad del humo.,[Puente Libre]
09/12/2025,Av. Juárez (Zona peatonal),Centro,31.745,-106.486,Comercial,Cortocircuito (Planta alta),Parciales,Fuego en tienda de sombreros. Se desalojó el área por riesgo de explosión de tanques de gas estacionarios.,[Municipio]
04/12/2025,Av. 16 de Septiembre y C. Bolivia,Centro (Sur),31.7325,-106.475,Edificio Departamentos,Desconocida,Severos (3er piso),Incendio en edificio de tres niveles. Se atendió a una mujer por crisis nerviosa y se evacuó a varias familias.,[Puente Libre]
25/10/2025,C. Tuna y C. Sorgo,El Granjero,31.663,-106.411,Comercial / Bodega,Criminal (Bombas Molotov),Pérdida Total + 4 Vehículos,"Ataque directo a la bodega de frutas ""Frudely"". Cuatro sujetos detenidos posteriormente por la SSPE.",
03/10/2025,C. Mariscal y C. Ugarte,Centro,31.7415,-106.4885,Edificio Abandonado,Vandalismo,Estructurales (Demolición),"""Mega incendio"" en finca abandonada. El daño estructural obligó a Protección Civil a ordenar su demolición inmediata.",
09/09/2025,C. Ramón Rayón e Ignacio Mariscal,Centro (Barrio Alto),31.7385,-106.4895,Comercial (Puesto),Mala operación gas L.P.,Daños estructurales,Incendio en puesto de frituras por flamazo de tanque de gas y aceite hirviendo. Pánico en zona comercial.,
03/09/2025,C. Grosellas y C. Trigo,El Granjero,31.6675,-106.416,Residencial (Patio),Acumulación de basura/llantas,Parciales,Fuego iniciado en patio por acumulación de residuos. Columna de humo alertó al sector.,[Puente Libre]
24/08/2025,Zona Centro (Ubicación genérica),Centro,31.74,-106.48,Bodega,Desconocida,Cuantiosos,Intenso incendio consume bodega en el primer cuadro de la ciudad.,[Heraldo]
08/08/2025,C. Avena y C. Sandía,El Granjero,31.669,-106.414,Industrial (Recicladora),Industrial / Soldadura,Pérdida Total (3 bodegas),Incendio masivo que consumió tres bodegas de madera y reciclaje. Movilización de 30 bomberos.,[Municipio]
08/08/2025,C. Sandía y C. Cártamo,El Granjero,31.6695,-106.4135,Residencial (Conato),Falla eléctrica probable,Menores,"Conato en vivienda contigua a la zona industrial, controlado antes de propagarse.",[N+]
15/05/2025,C. Miguel Ahumada y Fco. Javier Mina,Centro,31.742,-106.482,Infraestructura (Gas),Negligencia (Fogata),Daños en fachadas / Red de gas,Explosión y flamazo en tubería de gas natural provocado por una fogata encendida por una persona en situación de calle.,
19/02/2025,C. Grijalva (Cruce no esp.),Centro,31.736,-106.479,Residencial,Desconocida,Totales,Vivienda consumida en su totalidad en calle Grijalva. Sin heridos reportados.,[Heraldo]
12/02/2025,C. Rivera del Montero,Riberas del Bravo (Etapa 8),31.634,-106.327,Residencial,Accidental,Pérdida Total,Vivienda habitada por familia de 5 consumida totalmente. Lograron salir ilesos.,[Puente Libre]
28/01/2025,C. Abraham González y Francisco Villa,Centro,31.743,-106.478,Comercial,Desconocida,Parciales,Protección Civil atendió incendio activo en negocio.,[Municipio]
25/07/2024,C. Vicente Guerrero (Mercado Reforma),Centro,31.741,-106.481,Comercial (Bodega),Desconocida,Menores (Papelería/Cartón),Fuego en bodega subterránea del Mercado Reforma. Controlado por 10 bomberos.,[Municipio]
23/07/2024,Fracc. Riberas del Bravo (Etapa no esp.),Riberas del Bravo,31.63,-106.32,Residencial,Desconocida,Parciales,Agentes de la SSPM actuaron como primeros respondientes para sofocar incendio en domicilio.,[Puente Libre]
04/06/2024,C. La Paz y C. Globo,Centro,31.738,-106.4815,Hotel,Falla eléctrica,Parciales (1 habitación),"Incendio en cuarto de hotel. Evacuación preventiva, sin lesionados.",[Puente Libre]
09/04/2024,Etapa 9 (Ubicación genérica),Riberas del Bravo (Etapa 9),31.626,-106.314,Tapias (Abandonado),Quema de basura,Daños en estructura,Rescate de hombre atrapado en tapias incendiadas. SSPM intervino para extraerlo.,
04/01/2024,C. Rivera de Mariam y R. de Génova,Riberas del Bravo (Etapa 7),31.6365,-106.3225,Residencial,Desconocida,Parciales,Policías municipales sofocaron el fuego con baldes de agua antes de la llegada de bomberos.,
30/10/2023,C. Carlos Montemayor #1062,Melchor Ocampo (Centro),31.725,-106.47,Estructura de madera,Desconocida,Parciales,"Incendio en cuarto de madera en patio, riesgo de propagación a viviendas.",
22/09/2023,Mercado Cuauhtémoc,Centro,31.7405,-106.483,Comercial,Desconocida,Parciales,Fuego al interior del mercado histórico. Controlado oportunamente.,
08/07/2023,El Chamizal (Centro de Transferencia),Chamizal (Norte Centro),31.76,-106.45,Basurero,Espontáneo / Quema,Ambientales Severos,Fuerte incendio en centro de acopio de basura. Columna de humo visible desde el Centro.,[Heraldo]
17/04/2023,Av. Vicente Guerrero y C. Constitución,Centro (Partido Romero),31.7435,-106.475,Edificio Abandonado,Riña / Provocado,Daños + 4 Lesionados,Incendio en ex-edificio Canal 5 ocupado por migrantes. Riña derivó en fuego y personas lanzadas desde altura.,[Latinus]
27/03/2023,Puente Stanton-Lerdo (INM),Centro,31.748,-106.48,Institucional,Motín / Protesta,40 Fallecidos,Tragedia migrante. Quema de colchonetas en celda cerrada. Asfixia y quemaduras.,
05/01/2023,C. Rivera de Sicómoro y Monte Albán,Riberas del Bravo (Etapa 8),31.633,-106.326,Comercial,Criminal (Jueves Negro),Parciales,"Ataque a tienda Oxxo con bombas molotov tras muerte de ""El Neto"".",[Presencia]
15/11/2022,C. Ribera de Ixtapan y R. de Peñasco,Riberas del Bravo,31.638,-106.33,Residencial,Cortocircuito,Parciales (2 cuartos),Vecinos sofocaron el fuego con cubetas ante tardanza de bomberos.,[Heraldo]
11/08/2022,C. Globo y C. Grijalva,Centro,31.735,-106.478,Comercial,Criminal (Jueves Negro),Pérdida Total (5 locales),Incendio intencional de 5 locales comerciales durante jornada violenta.,[Nacion321]
21/04/2022,C. Miguel Ahumada y Fco. Javier Mina,Centro,31.742,-106.482,Infraestructura,Fogata de indigente,Daños en pavimento/tubería,Fuga de gas prendida por fogata. Flamazo de 3 metros.,
13/01/2022,C. Antonio García y Ribera del Cubilete,Riberas del Bravo (Etapa 8),31.632,-106.325,Vehicular,Criminal (Narcobloqueo),Pérdida Total Vehículo,Quema de camión de transporte de personal estacionado.,[La Verdad]
13/01/2022,C. Rivera de las Montañas y R. Pátzcuaro,Riberas del Bravo,31.6385,-106.329,Vehicular,Criminal (Narcobloqueo),Pérdida Total Vehículo,Auto particular incendiado en vía pública como distractor.,[La Verdad]
30/08/2021,C. Rivera del Don y Rivera del Clarín,Riberas del Bravo (Etapa 9),31.625,-106.313,Lote Baldío,Quema de basura,Ambientales,Policías municipales apagaron fuego en lote baldío con cubetas.,[Puente Libre]
